year,cumul.freq,fill
2000,0,Conducted
2001,1,Conducted
2002,1,Conducted
2003,2,Conducted
2004,2,Conducted
2005,2,Conducted
2006,2,Conducted
2007,3,Conducted
2008,3,Conducted
2009,3,Conducted
2010,5,Conducted
2011,6,Conducted
2012,6,Conducted
2013,7,Conducted
2014,7,Conducted
2015,9,Conducted
2016,11,Conducted
2017,17,Conducted
2018,22,Conducted
2019,29,Conducted
2020,31,Conducted
2021,31,Conducted
2000,0,Published
2001,0,Published
2002,0,Published
2003,0,Published
2004,0,Published
2005,1,Published
2006,1,Published
2007,1,Published
2008,2,Published
2009,2,Published
2010,2,Published
2011,3,Published
2012,4,Published
2013,6,Published
2014,7,Published
2015,7,Published
2016,7,Published
2017,9,Published
2018,11,Published
2019,17,Published
2020,27,Published
2021,31,Published